Date,Open,High,Low,Close,Volume,Adj Close,Tmr Close,No.,High_Low,Close_Open
4/11/2004,2023.69,2026.91,2008.51,2010.65,127339400,2010.65,2015.77,215,18.4,-13.04
5/11/2004,2020.23,2022.71,2009.03,2015.77,481549400,2015.77,2009.96,216,13.68,-4.46
8/11/2004,2017.39,2020.95,2008.57,2009.96,103361600,2009.96,2011.51,217,12.38,-7.43
9/11/2004,2015.84,2020.43,2008.84,2011.51,122085200,2011.51,2022.99,218,11.59,-4.33
10/11/2004,2015.07,2027.62,2015.07,2022.99,130902400,2022.99,2038.46,219,12.55,7.92
12/11/2004,2032.03,2039.49,2030.13,2038.46,128394000,2038.46,2036.42,220,9.36,6.43
16/11/2004,2044.63,2045.74,2031.11,2036.42,119940400,2036.42,2046.4,221,14.63,-8.21
17/11/2004,2038.31,2047.12,2033.65,2046.4,135072600,2046.4,2032.62,222,13.47,8.09
18/11/2004,2048.25,2050.78,2030.71,2032.62,128259200,2032.62,2038.21,223,20.07,-15.63
19/11/2004,2036.4,2039.23,2031.3,2038.21,127734800,2038.21,2020.14,224,7.93,1.81
22/11/2004,2027.09,2027.43,2015.52,2020.14,140191000,2020.14,2029.86,225,11.91,-6.95
23/11/2004,2027.72,2036.46,2026.21,2029.86,180230600,2029.86,2040.19,226,10.25,2.14
24/11/2004,2034.09,2043.97,2032.54,2040.19,164522600,2040.19,2034.88,227,11.43,6.1
25/11/2004,2037.5,2045.11,2031.65,2034.88,150630000,2034.88,2028.43,228,13.46,-2.62
26/11/2004,2037.18,2042.41,2021.48,2028.43,98881600,2028.43,2038.72,229,20.93,-8.75
29/11/2004,2030.78,2044.38,2030,2038.72,114244400,2038.72,2027.66,230,14.38,7.94
30/11/2004,2035,2043.09,2027.11,2027.66,152014400,2027.66,2038.84,231,15.98,-7.34
1/12/2004,2029.28,2038.84,2022.76,2038.84,140644600,2038.84,2062.76,232,16.08,9.56
2/12/2004,2052.74,2071.93,2052.74,2062.76,144011600,2062.76,2061.58,233,19.19,10.02
3/12/2004,2074.22,2076.59,2059.78,2061.58,114867600,2061.58,2032.38,234,16.81,-12.64
6/12/2004,2063.41,2065.84,2032.38,2032.38,156428200,2032.38,2016.26,235,33.46,-31.03
7/12/2004,2041.01,2043.68,2016.26,2016.26,128058400,2016.26,2020.66,236,27.42,-24.75
8/12/2004,2023.16,2034.7,2013.79,2020.66,161767000,2020.66,1999.14,237,20.91,-2.5
9/12/2004,2021.46,2023.59,1999.14,1999.14,135598000,1999.14,2016.33,238,24.45,-22.32
10/12/2004,2006.12,2017.27,2006.12,2016.33,119726400,2016.33,2017.29,239,11.15,10.21
13/12/2004,2022.18,2024.18,2010.1,2017.29,108299000,2017.29,2031.29,240,14.08,-4.89
14/12/2004,2018.52,2037.22,2017.03,2031.29,115585400,2031.29,2048.79,241,20.19,12.77
15/12/2004,2035.94,2048.79,2031.82,2048.79,147635200,2048.79,2034.3,242,16.97,12.85
16/12/2004,2049.39,2049.39,2032.44,2034.3,159474400,2034.3,2057.98,243,16.95,-15.09
17/12/2004,2037.53,2057.98,2034.85,2057.98,145843600,2057.98,2056.24,244,23.13,20.45
20/12/2004,2051.53,2057.56,2040.79,2056.24,87109200,2056.24,2063.59,245,16.77,4.71
21/12/2004,2057.22,2063.59,2051.25,2063.59,90934000,2063.59,2055.77,246,12.34,6.37
22/12/2004,2068.83,2069.99,2055.77,2055.77,95255200,2055.77,2055.48,247,14.22,-13.06
23/12/2004,2061.28,2062.36,2051.06,2055.48,71382000,2055.48,2055.56,248,11.3,-5.8
24/12/2004,2054.66,2057.4,2049.02,2055.56,40703600,2055.56,2050.99,249,8.38,0.9
27/12/2004,2047.64,2052.74,2042.96,2050.99,58169800,2050.99,2058.12,250,9.78,3.35
28/12/2004,2049.01,2062.26,2047.55,2058.12,68967200,2058.12,2057.82,251,14.71,9.11
